Approved symbol	Ensembl gene ID	Previous symbols	Alias symbols
ACSBG1	ENSG00000103740		BGM, FLJ30320, MGC14352, BG1, KIAA0631, hBG1, hsBG
ACSBG2	ENSG00000130377		BGR, PRTD-NY3, DKFZp434K1635
ACSF2	ENSG00000167107		FLJ20920, ACSMW
ACSF3	ENSG00000176715
ACSL1	ENSG00000151726	FACL2	LACS2, LACS, ACS1, LACS1, FACL1
ACSL3	ENSG00000123983	FACL3	ACS3, PRO2194
ACSL3-AS1	ENSG00000234193
ACSL3P1	ENSG00000244062
ACSL4	ENSG00000068366	FACL4, MRX63, MRX68	ACS4, LACS4
ACSL5	ENSG00000197142	FACL5	ACS5, ACS2
ACSL6	ENSG00000164398	FACL6	KIAA0837, ACS2, LACS5, LACS2
ACSL6-AS1	ENSG00000223548
ACSM1	ENSG00000166743	BUCS1	MACS1
ACSM2A	ENSG00000183747	ACSM2	A-923A4.1, MGC150530
ACSM2B	ENSG00000066813	ACSM2	HXMA, HYST1046
ACSM3	ENSG00000005187	SAH	SA
ACSM4	ENSG00000215009
ACSM5	ENSG00000183549		FLJ20581
ACSM5P1	ENSG00000260762
ACSM6	ENSG00000173124	C10orf129	bA310E22.3
ACSS1	ENSG00000154930	ACAS2L	dJ568C11.3, AceCS2L, MGC33843
ACSS2	ENSG00000131069	ACAS2	ACS, ACSA, AceCS, dJ1161H23.1
ACSS3	ENSG00000111058		FLJ21963
ACSS3-AS1	ENSG00000258026
ACTA1	ENSG00000143632	ACTA	NEM3
ACTA2	ENSG00000107796		ACTSA
ACTA2-AS1	ENSG00000180139		uc001kfo.1, ZXF1, UC001kfo
ACTA3
ACTB	ENSG00000075624
ACTBL2	ENSG00000169067		DKFZp686D0972
ACTBP1	ENSG00000229145
ACTBP2	ENSG00000213763
ACTBP3
ACTBP4	ENSG00000286676
ACTBP5
ACTBP6	ENSG00000203413
ACTBP7	ENSG00000185607
ACTBP8	ENSG00000220267		ACTBP2
ACTBP9	ENSG00000266920
ACTBP10
ACTBP11	ENSG00000188460
ACTBP12	ENSG00000233125	ACTGP5
ACTBP14	ENSG00000229001
ACTBP15	ENSG00000213857
ACTBP16	ENSG00000241473
ACTC1	ENSG00000159251	ACTC	CMD1R
ACTE1P	ENSG00000172900
ACTG1	ENSG00000184009	ACTG, DFNA20, DFNA26
ACTG1P1	ENSG00000178631	ACTGP1, ACT1GP1
ACTG1P2	ENSG00000229129	ACTL2, ACTGP2
ACTG1P3	ENSG00000215388	ACTGP3
ACTG1P4	ENSG00000236085	ACTGP4
ACTG1P6		ACTGP6
ACTG1P7		ACTGP7
ACTG1P8		ACTGP8
ACTG1P9	ENSG00000229349	ACTGP9
ACTG1P10	ENSG00000231340	ACTL1, ACTGP10
ACTG1P11	ENSG00000229465
ACTG1P12	ENSG00000226642
ACTG1P13	ENSG00000241305
ACTG1P14	ENSG00000230581
ACTG1P15	ENSG00000259904
ACTG1P16	ENSG00000260298
ACTG1P17	ENSG00000259315
ACTG1P18	ENSG00000218475
ACTG1P19	ENSG00000237999
ACTG1P20	ENSG00000241547
ACTG1P21	ENSG00000232672
ACTG1P22	ENSG00000271615
ACTG1P23	ENSG00000230362
ACTG1P24	ENSG00000226359	POTENP
ACTG1P25	ENSG00000234996		AGPG
ACTG2	ENSG00000163017	ACTL3, ACTA3	ACTSG
ACTL2
ACTL3
ACTL4
ACTL5			ACTFIB
ACTL6A	ENSG00000136518		Actl6, BAF53A, Arp4, Baf53a, INO80K, SMARCN1
ACTL6A-AS1	ENSG00000272660
ACTL6B	ENSG00000077080	ACTL6	BAF53B, SMARCN2
ACTL7A	ENSG00000187003
ACTL7B	ENSG00000148156		Tact1
ACTL8	ENSG00000117148		CT57
ACTL9	ENSG00000181786		MGC33407
ACTL10	ENSG00000288649	C20orf134
ACTL11P	ENSG00000234667	ACTBP13
ACTMAP	ENSG00000188493	C19orf54	FLJ41131
ACTN1	ENSG00000072110
ACTN1-DT	ENSG00000259062	C14orf84, ACTN1-AS1
ACTN2	ENSG00000077522
ACTN3	ENSG00000248746
ACTN3-AS1	ENSG00000250105
ACTN4	ENSG00000130402	FSGS1
ACTN4-AS1	ENSG00000267375
ACTN4P1	ENSG00000213493
ACTN4P2	ENSG00000214141
ACTP1	ENSG00000229890
ACTR1A	ENSG00000138107		ARP1, Arp1A
ACTR1AP1	ENSG00000233370
ACTR1B	ENSG00000115073	CTRN2	Arp1B
ACTR2	ENSG00000138071		ARP2
ACTR2P1	ENSG00000224334
ACTR2P2	ENSG00000213985
ACTR3	ENSG00000115091		ARP3
ACTR3-AS1			AC104653.1
ACTR3B	ENSG00000133627		ARP11, ARP3beta
ACTR3BP1	ENSG00000270242
ACTR3BP2	ENSG00000226481		FKSG73
ACTR3BP3	ENSG00000260327
ACTR3BP4	ENSG00000249283
ACTR3BP5	ENSG00000227264
ACTR3BP6	ENSG00000280263
ACTR3BP7	ENSG00000226444
ACTR3C	ENSG00000106526		ARP11
ACTR3P1
ACTR3P2	ENSG00000232267
ACTR3P3	ENSG00000242573
ACTR5	ENSG00000101442		FLJ12785, Arp5, INO80M
ACTR6	ENSG00000075089		ARP6, FLJ13433
ACTR6P1	ENSG00000248915
ACTR8	ENSG00000113812		INO80N, ARP8
ACTR10	ENSG00000131966		HARP11, ACTR11, Arp11, Arp10
ACTRT1	ENSG00000123165		AIP1, KIAA0705, ARIP1, Arp-T1
ACTRT1P1	ENSG00000235239
ACTRT2	ENSG00000169717		Arp-T2, ARPM2, FLJ25424
ACTRT3	ENSG00000184378		ARPM1
ACVR1	ENSG00000115170	ACVRLK2	SKR1, ALK2, ACVR1A
ACVR1B	ENSG00000135503	ACVRLK4	ALK4, SKR2, ActRIB
ACVR1C	ENSG00000123612		ALK7, ACVRLK7
ACVR2A	ENSG00000121989	ACVR2	ACTRII
ACVR2B	ENSG00000114739		ActR-IIB
ACVR2B-AS1	ENSG00000229589
ACVRL1	ENSG00000139567	ACVRLK1, ORW2	HHT2, ALK1, HHT
ACVRLK2
ACY1	ENSG00000243989
ACY1L		ACY1L	AN
ACY3	ENSG00000132744		HCBP1, MGC9740, ACY-3, ASPA2
ACYP1	ENSG00000119640
ACYP2	ENSG00000170634
AD1
AD2		AD2
AD3
AD4
AD5
ADA	ENSG00000196839		ADA1
ADA2	ENSG00000093072	IDGFL, CECR1	ADGF
ADAD1	ENSG00000164113		Tenr
ADAD1P1	ENSG00000270367
ADAD1P2	ENSG00000267511
ADAD2	ENSG00000140955		TENRL, FLJ00337
ADAD2-AS1	ENSG00000250685
ADAM1A	ENSG00000229186	ADAM1	FTNAP, PH-30a, Ftna, ADAM1P
ADAM1B	ENSG00000226469
ADAM2	ENSG00000104755	FTNB	PH-30b, PH30, CT15
ADAM3A	ENSG00000197475	CYRN1	ADAM3, tMDCI
ADAM3B	ENSG00000260089	CYRN2
ADAM5	ENSG00000196115	ADAM5P	tMDCII
ADAM6	ENSG00000271968	C14orf96	tMDCIV
ADAM7	ENSG00000069206		GP-83, EAPI
ADAM7-AS1	ENSG00000253535
ADAM7-AS2	ENSG00000253643
ADAM8	ENSG00000151651		CD156, MS2, CD156A
ADAM9	ENSG00000168615	CORD9	MDC9, KIAA0021, MCMP, Mltng
ADAM10	ENSG00000137845		kuz, MADM, HsT18717, CD156C
ADAM11	ENSG00000073670	MDC
ADAM12	ENSG00000148848		MCMPMltna, MLTN
ADAM12-OT1			CAR10, FLJ31066
ADAM15	ENSG00000143537		MDC15
ADAM17	ENSG00000151694	TACE	cSVP, CD156B
ADAM18	ENSG00000168619		tMDCIII, ADAM27
ADAM19	ENSG00000135074		MLTNB
ADAM20	ENSG00000134007
ADAM20P1	ENSG00000259158	C14orf55
ADAM20P2	ENSG00000248574
ADAM20P3	ENSG00000249162
ADAM21	ENSG00000139985		ADAM31
ADAM21P1	ENSG00000235812	ADAM21P
ADAM22	ENSG00000008277		MDC2
ADAM23	ENSG00000114948		MDC3
ADAM24P	ENSG00000214607
ADAM28	ENSG00000042980		eMDCII, MDC-Lm, MDC-Ls, ADAM23
ADAM29	ENSG00000168594		svph1, CT73
ADAM30	ENSG00000134249		svph4
ADAM32	ENSG00000197140
ADAM33	ENSG00000149451	C20orf153	DKFZp434K0521, dJ964F7.1
ADAMDEC1	ENSG00000134028		M12.219
ADAMTS1	ENSG00000154734		C3-C5, METH1, KIAA1346
ADAMTS2	ENSG00000087116		ADAMTS-3, hPCPNI, PCINP, ADAM-TS2, NPI
ADAMTS3	ENSG00000156140		KIAA0366, ADAMTS-4
ADAMTS4	ENSG00000158859		KIAA0688, ADAMTS-2, ADMP-1
ADAMTS5	ENSG00000154736		ADMP-2, ADAMTS11
ADAMTS6	ENSG00000049192		ADAM-TS6
ADAMTS7	ENSG00000136378		ADAM-TS7, DKFZp434H204
ADAMTS7P1	ENSG00000274376	ADAMTS7P2
ADAMTS7P2
ADAMTS7P3	ENSG00000261143
ADAMTS7P4	ENSG00000218052
ADAMTS7P5	ENSG00000274717
ADAMTS8	ENSG00000134917		METH2, FLJ41712, ADAM-TS8
ADAMTS9	ENSG00000163638		KIAA1312
ADAMTS9-AS1	ENSG00000241158
ADAMTS9-AS2	ENSG00000241684
ADAMTS10	ENSG00000142303		ADAM-TS10
ADAMTS10-AS1	ENSG00000267986
ADAMTS12	ENSG00000151388
ADAMTS13	ENSG00000160323	C9orf8	VWFCP, TTP, vWF-CP, FLJ42993, MGC118899, MGC118900, DKFZp434C2322
ADAMTS14	ENSG00000138316
ADAMTS15	ENSG00000166106
ADAMTS16	ENSG00000145536		ADAMTS16s
ADAMTS16-AS1	ENSG00000250866		AC022424.2
ADAMTS16-DT	ENSG00000250579
ADAMTS17	ENSG00000140470		FLJ32769, FLJ16363
ADAMTS17-AS1	ENSG00000259356
ADAMTS18	ENSG00000140873	ADAMTS21
ADAMTS19	ENSG00000145808
ADAMTS19-AS1	ENSG00000249421		RP11-346A9.1
ADAMTS20	ENSG00000173157		GON-1
ADAMTS21
ADAMTSL1	ENSG00000178031	C9orf94	ADAMTSR1, FLJ35283
ADAMTSL2	ENSG00000197859		KIAA0605
ADAMTSL3	ENSG00000156218		KIAA1233, punctin-2
ADAMTSL4	ENSG00000143382	TSRC1	DKFZP434K1772
ADAMTSL4-AS1	ENSG00000203804	C1orf138	FLJ45786
ADAMTSL4-AS2	ENSG00000237781
ADAMTSL5	ENSG00000185761	THSD6
ADAP1	ENSG00000105963	CENTA1	GCS1L
ADAP2	ENSG00000184060	CENTA2
ADAR	ENSG00000160710	IFI4, G1P1	ADAR1, DRADA
ADARB1	ENSG00000197381		ADAR2, DRADA2, ADAR2g, DRABA2, RED1, hRED1, ADAR2a-L1, ADAR2a-L2, ADAR2a-L3, ADAR2a, ADAR2b, ADAR2c, ADAR2d
ADARB2	ENSG00000185736		RED2, hRED2, ADAR3
ADARB2-AS1	ENSG00000205696	C10orf109, NCRNA00168	bA466B20.1
ADAT1	ENSG00000065457
ADAT2	ENSG00000189007	DEADC1	dJ20N2.1, TAD2
ADAT3	ENSG00000213638		TAD3
ADCK1	ENSG00000063761		FLJ39600
ADCK2	ENSG00000133597		MGC20727
ADCK5	ENSG00000173137		FLJ35454
ADCP1
ADCP2
ADCR
ADCY1	ENSG00000164742	DFNB44	AC1
ADCY2	ENSG00000078295		HBAC2, KIAA1060, AC2
ADCY2-AS1	ENSG00000250761
ADCY3	ENSG00000138031		AC3
ADCY4	ENSG00000129467		AC4
ADCY5	ENSG00000173175		AC5
ADCY6	ENSG00000174233		AC6
ADCY6-DT	ENSG00000257660
ADCY7	ENSG00000121281		KIAA0037, AC7
ADCY8	ENSG00000155897	ADCY3	HBAC1, AC8
ADCY9	ENSG00000162104		AC9
ADCY10	ENSG00000143199		SAC, Sacy, SACI, HCA2, RP1-313L4.2
ADCY10P1	ENSG00000161912
ADCYAP1	ENSG00000141433		PACAP
ADCYAP1R1	ENSG00000078549		PAC1, PACAPR, PAC1R
ADD1	ENSG00000087274
ADD1-DT	ENSG00000296107
ADD2	ENSG00000075340		ADDB
ADD2-AS1	ENSG00000235035
ADD3	ENSG00000148700	ADDL
ADD3-AS1	ENSG00000203876
ADDL
ADFN
ADGB	ENSG00000118492	C6orf103	FLJ23121, dJ408K24.1, CAPN16
ADGB-DT	ENSG00000237468
ADGRA1	ENSG00000197177	GPR123	KIAA1828
ADGRA1-AS1	ENSG00000256925	GPR123-AS1
ADGRA2	ENSG00000020181	GPR124	TEM5, DKFZp434C211, DKFZp434J0911, KIAA1531, FLJ14390
ADGRA3	ENSG00000152990	GPR125	FLJ38547, PGR21
ADGRA3P1	ENSG00000256616
ADGRB1	ENSG00000181790	BAI1
ADGRB2	ENSG00000121753	BAI2
ADGRB3	ENSG00000135298	BAI3	KIAA0550
ADGRB3-DT	ENSG00000230910		AL391807.1, RP3-525N10.2
ADGRD1	ENSG00000111452	GPR133	DKFZp434B1272, PGR25
ADGRD1-AS1	ENSG00000256151		LACAT8
ADGRD1-AS2	ENSG00000256810
ADGRD2	ENSG00000180264	GPR144	PGR24
